,date,time,comp,round,day,venue,gf,ga,opponent,poss,attendance,formation,sh,save%,season,team
3,2018-09-16,18:00,Bundesliga,Matchweek 3,Sun,Home,3,3,Stuttgart,43.0,24000.0,4-2-2-2,12.0,50.0,2019,Freiburg
4,2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Away,3,1,Wolfsburg,28.0,23011.0,4-4-2,10.0,88.9,2019,Freiburg
5,2018-09-25,20:30,Bundesliga,Matchweek 5,Tue,Home,1,0,Schalke 04,43.0,24000.0,4-4-2,15.0,100.0,2019,Freiburg
6,2018-09-30,18:00,Bundesliga,Matchweek 6,Sun,Away,1,4,Augsburg,50.0,26488.0,4-4-1-1,13.0,70.0,2019,Freiburg
7,2018-10-07,13:30,Bundesliga,Matchweek 7,Sun,Home,0,0,Leverkusen,43.0,23800.0,4-1-4-1,7.0,,2019,Freiburg
8,2018-10-21,15:30,Bundesliga,Matchweek 8,Sun,Away,1,1,Hertha BSC,39.0,53716.0,4-1-4-1,8.0,80.0,2019,Freiburg
9,2018-10-26,20:30,Bundesliga,Matchweek 9,Fri,Home,3,1,M'Gladbach,41.0,24000.0,4-4-2,12.0,100.0,2019,Freiburg
11,2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Away,1,1,Bayern Munich,29.0,75000.0,4-4-2,10.0,83.3,2019,Freiburg
12,2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Home,1,3,Mainz 05,58.0,24000.0,4-4-2,15.0,66.7,2019,Freiburg
13,2018-11-25,15:30,Bundesliga,Matchweek 12,Sun,Home,1,1,Werder Bremen,48.0,24000.0,3-4-3,22.0,87.5,2019,Freiburg
14,2018-12-01,15:30,Bundesliga,Matchweek 13,Sat,Away,0,2,Dortmund,33.0,81365.0,5-4-1,5.0,75.0,2019,Freiburg
15,2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Home,3,0,RB Leipzig,41.0,23800.0,4-2-3-1,11.0,100.0,2019,Freiburg
16,2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Away,0,2,Düsseldorf,63.0,39301.0,4-2-3-1,6.0,75.0,2019,Freiburg
17,2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Home,1,1,Hannover 96,47.0,23500.0,3-4-3,13.0,66.7,2019,Freiburg
18,2018-12-22,15:30,Bundesliga,Matchweek 17,Sat,Away,1,0,Nürnberg,38.0,36190.0,4-4-2,7.0,100.0,2019,Freiburg
19,2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Away,1,3,Eint Frankfurt,54.0,49200.0,3-4-3,21.0,25.0,2019,Freiburg
20,2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Home,2,4,Hoffenheim,43.0,23900.0,4-2-3-1,20.0,72.7,2019,Freiburg
21,2019-02-03,18:00,Bundesliga,Matchweek 20,Sun,Away,2,2,Stuttgart,31.0,51009.0,3-4-3,16.0,50.0,2019,Freiburg
22,2019-02-09,15:30,Bundesliga,Matchweek 21,Sat,Home,3,3,Wolfsburg,50.0,23600.0,4-2-2-2,10.0,50.0,2019,Freiburg
23,2019-02-16,15:30,Bundesliga,Matchweek 22,Sat,Away,0,0,Schalke 04,55.0,58271.0,4-2-2-2,12.0,100.0,2019,Freiburg
24,2019-02-23,15:30,Bundesliga,Matchweek 23,Sat,Home,5,1,Augsburg,41.0,23600.0,4-4-2,19.0,75.0,2019,Freiburg
25,2019-03-02,15:30,Bundesliga,Matchweek 24,Sat,Away,0,2,Leverkusen,28.0,26607.0,4-4-2,8.0,60.0,2019,Freiburg
26,2019-03-09,15:30,Bundesliga,Matchweek 25,Sat,Home,2,1,Hertha BSC,35.0,24000.0,4-2-3-1,9.0,83.3,2019,Freiburg
27,2019-03-15,20:30,Bundesliga,Matchweek 26,Fri,Away,1,1,M'Gladbach,45.0,46832.0,4-4-1-1,10.0,50.0,2019,Freiburg
28,2019-03-30,15:30,Bundesliga,Matchweek 27,Sat,Home,1,1,Bayern Munich,30.0,24000.0,4-4-1-1,12.0,87.5,2019,Freiburg
29,2019-04-05,20:30,Bundesliga,Matchweek 28,Fri,Away,0,5,Mainz 05,69.0,27305.0,3-4-3,17.0,0.0,2019,Freiburg
30,2019-04-13,15:30,Bundesliga,Matchweek 29,Sat,Away,1,2,Werder Bremen,38.0,42100.0,5-3-2,9.0,66.7,2019,Freiburg
31,2019-04-21,15:30,Bundesliga,Matchweek 30,Sun,Home,0,4,Dortmund,42.0,24000.0,4-2-2-2,11.0,50.0,2019,Freiburg
32,2019-04-27,15:30,Bundesliga,Matchweek 31,Sat,Away,1,2,RB Leipzig,53.0,40826.0,3-1-4-2,14.0,75.0,2019,Freiburg
33,2019-05-05,15:30,Bundesliga,Matchweek 32,Sun,Home,1,1,Düsseldorf,39.0,24000.0,3-1-4-2,9.0,66.7,2019,Freiburg
34,2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Away,0,3,Hannover 96,42.0,38100.0,4-4-2,5.0,50.0,2019,Freiburg
35,2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,5,1,Nürnberg,62.0,24000.0,4-4-2,18.0,80.0,2019,Freiburg
1,2018-08-25,15:30,Bundesliga,Matchweek 1,Sat,Away,1,2,Wolfsburg,42.0,26621.0,3-4-3,8.0,71.4,2019,Schalke 04
2,2018-09-02,18:00,Bundesliga,Matchweek 2,Sun,Home,0,2,Hertha BSC,57.0,60181.0,4-3-3,15.0,33.3,2019,Schalke 04
3,2018-09-15,18:30,Bundesliga,Matchweek 3,Sat,Away,1,2,M'Gladbach,50.0,54022.0,3-4-1-2,16.0,50.0,2019,Schalke 04
5,2018-09-22,18:30,Bundesliga,Matchweek 4,Sat,Home,0,2,Bayern Munich,31.0,62271.0,3-4-1-2,10.0,85.7,2019,Schalke 04
6,2018-09-25,20:30,Bundesliga,Matchweek 5,Tue,Away,0,1,Freiburg,57.0,24000.0,4-2-3-1,15.0,75.0,2019,Schalke 04
7,2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Home,1,0,Mainz 05,43.0,61810.0,4-2-3-1,15.0,100.0,2019,Schalke 04
9,2018-10-06,15:30,Bundesliga,Matchweek 7,Sat,Away,2,0,Düsseldorf,51.0,52000.0,4-1-2-1-2◆,15.0,100.0,2019,Schalke 04
10,2018-10-20,18:30,Bundesliga,Matchweek 8,Sat,Home,0,2,Werder Bremen,47.0,62271.0,4-4-1-1,12.0,33.3,2019,Schalke 04
12,2018-10-28,15:30,Bundesliga,Matchweek 9,Sun,Away,0,0,RB Leipzig,33.0,41939.0,3-5-2,6.0,100.0,2019,Schalke 04
14,2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Home,3,1,Hannover 96,57.0,61959.0,3-5-2,14.0,83.3,2019,Schalke 04
16,2018-11-11,18:00,Bundesliga,Matchweek 11,Sun,Away,0,3,Eint Frankfurt,49.0,50700.0,3-1-4-2,5.0,25.0,2019,Schalke 04
17,2018-11-24,18:30,Bundesliga,Matchweek 12,Sat,Home,5,2,Nürnberg,55.0,62271.0,3-1-4-2,20.0,66.7,2019,Schalke 04
19,2018-12-01,18:30,Bundesliga,Matchweek 13,Sat,Away,1,1,Hoffenheim,51.0,30000.0,4-1-2-1-2◆,14.0,100.0,2019,Schalke 04
20,2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Home,1,2,Dortmund,46.0,61767.0,4-3-1-2,5.0,33.3,2019,Schalke 04
22,2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Away,1,1,Augsburg,51.0,27233.0,3-4-3,15.0,88.9,2019,Schalke 04
23,2018-12-19,18:30,Bundesliga,Matchweek 16,Wed,Home,1,2,Leverkusen,55.0,61548.0,4-4-2,18.0,60.0,2019,Schalke 04
24,2018-12-22,15:30,Bundesliga,Matchweek 17,Sat,Away,3,1,Stuttgart,38.0,54022.0,4-2-3-1,14.0,80.0,2019,Schalke 04
25,2019-01-20,18:00,Bundesliga,Matchweek 18,Sun,Home,2,1,Wolfsburg,45.0,58827.0,4-2-3-1,19.0,80.0,2019,Schalke 04
26,2019-01-25,20:30,Bundesliga,Matchweek 19,Fri,Away,2,2,Hertha BSC,53.0,43027.0,4-2-3-1,13.0,50.0,2019,Schalke 04
27,2019-02-02,18:30,Bundesliga,Matchweek 20,Sat,Home,0,2,M'Gladbach,39.0,62271.0,4-4-2,10.0,50.0,2019,Schalke 04
29,2019-02-09,18:30,Bundesliga,Matchweek 21,Sat,Away,1,3,Bayern Munich,31.0,75000.0,4-2-3-1,7.0,25.0,2019,Schalke 04
30,2019-02-16,15:30,Bundesliga,Matchweek 22,Sat,Home,0,0,Freiburg,45.0,58271.0,4-2-3-1,12.0,100.0,2019,Schalke 04
32,2019-02-23,15:30,Bundesliga,Matchweek 23,Sat,Away,0,3,Mainz 05,59.0,26005.0,3-1-4-2,10.0,50.0,2019,Schalke 04
33,2019-03-02,15:30,Bundesliga,Matchweek 24,Sat,Home,0,4,Düsseldorf,54.0,60322.0,3-4-3,7.0,40.0,2019,Schalke 04
34,2019-03-08,20:30,Bundesliga,Matchweek 25,Fri,Away,2,4,Werder Bremen,44.0,42100.0,3-4-3,14.0,57.1,2019,Schalke 04
36,2019-03-16,15:30,Bundesliga,Matchweek 26,Sat,Home,0,1,RB Leipzig,50.0,59913.0,3-1-4-2,16.0,75.0,2019,Schalke 04
37,2019-03-31,15:30,Bundesliga,Matchweek 27,Sun,Away,1,0,Hannover 96,39.0,44500.0,3-1-4-2,6.0,100.0,2019,Schalke 04
39,2019-04-06,15:30,Bundesliga,Matchweek 28,Sat,Home,1,2,Eint Frankfurt,37.0,61842.0,3-1-4-2,6.0,80.0,2019,Schalke 04
40,2019-04-12,20:30,Bundesliga,Matchweek 29,Fri,Away,1,1,Nürnberg,48.0,50000.0,3-1-4-2,16.0,80.0,2019,Schalke 04
41,2019-04-20,20:30,Bundesliga,Matchweek 30,Sat,Home,2,5,Hoffenheim,40.0,58958.0,3-1-4-2,14.0,16.7,2019,Schalke 04
42,2019-04-27,15:30,Bundesliga,Matchweek 31,Sat,Away,4,2,Dortmund,31.0,80196.0,5-3-2,7.0,0.0,2019,Schalke 04
43,2019-05-05,13:30,Bundesliga,Matchweek 32,Sun,Home,0,0,Augsburg,50.0,59841.0,3-1-4-2,15.0,100.0,2019,Schalke 04
44,2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Away,1,1,Leverkusen,26.0,30210.0,3-1-4-2,6.0,80.0,2019,Schalke 04
45,2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,0,0,Stuttgart,40.0,61676.0,3-1-4-2,12.0,100.0,2019,Schalke 04
1,2018-08-25,15:30,Bundesliga,Matchweek 1,Sat,Away,2,1,Düsseldorf,49.0,40996.0,4-2-3-1,14.0,80.0,2019,Augsburg
2,2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Home,1,1,M'Gladbach,39.0,29580.0,4-3-3,18.0,0.0,2019,Augsburg
3,2018-09-15,15:30,Bundesliga,Matchweek 3,Sat,Away,1,2,Mainz 05,47.0,21105.0,3-4-3,14.0,66.7,2019,Augsburg
4,2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Home,2,3,Werder Bremen,50.0,28434.0,3-4-3,21.0,57.1,2019,Augsburg
5,2018-09-25,20:30,Bundesliga,Matchweek 5,Tue,Away,1,1,Bayern Munich,36.0,75000.0,3-4-3,12.0,87.5,2019,Augsburg
6,2018-09-30,18:00,Bundesliga,Matchweek 6,Sun,Home,4,1,Freiburg,50.0,26488.0,4-2-3-1,21.0,80.0,2019,Augsburg
7,2018-10-06,15:30,Bundesliga,Matchweek 7,Sat,Away,3,4,Dortmund,35.0,81365.0,4-2-2-2,12.0,42.9,2019,Augsburg
8,2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Home,0,0,RB Leipzig,52.0,28703.0,3-4-3◆,6.0,100.0,2019,Augsburg
9,2018-10-27,15:30,Bundesliga,Matchweek 9,Sat,Away,2,1,Hannover 96,38.0,37600.0,4-2-3-1,8.0,75.0,2019,Augsburg
11,2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Home,2,2,Nürnberg,57.0,30660.0,4-2-3-1,16.0,60.0,2019,Augsburg
12,2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Away,1,2,Hoffenheim,50.0,27009.0,3-4-3,22.0,71.4,2019,Augsburg
13,2018-11-24,15:30,Bundesliga,Matchweek 12,Sat,Home,1,3,Eint Frankfurt,59.0,30660.0,4-1-4-1,25.0,57.1,2019,Augsburg
14,2018-12-01,15:30,Bundesliga,Matchweek 13,Sat,Away,0,1,Stuttgart,63.0,52739.0,3-4-3,18.0,66.7,2019,Augsburg
15,2018-12-08,15:30,Bundesliga,Matchweek 14,Sat,Away,0,1,Leverkusen,38.0,25558.0,4-1-4-1,14.0,85.7,2019,Augsburg
16,2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Home,1,1,Schalke 04,49.0,27233.0,4-1-4-1,15.0,80.0,2019,Augsburg
17,2018-12-18,20:30,Bundesliga,Matchweek 16,Tue,Away,2,2,Hertha BSC,54.0,27939.0,4-1-4-1,9.0,71.4,2019,Augsburg
18,2018-12-23,15:30,Bundesliga,Matchweek 17,Sun,Home,2,3,Wolfsburg,44.0,28152.0,4-2-3-1,10.0,40.0,2019,Augsburg
19,2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Home,1,2,Düsseldorf,49.0,27568.0,4-2-3-1,13.0,33.3,2019,Augsburg
20,2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Away,0,2,M'Gladbach,38.0,42509.0,4-3-3,4.0,66.7,2019,Augsburg
21,2019-02-03,15:30,Bundesliga,Matchweek 20,Sun,Home,3,0,Mainz 05,52.0,25733.0,4-4-1-1,14.0,,2019,Augsburg
23,2019-02-10,15:30,Bundesliga,Matchweek 21,Sun,Away,0,4,Werder Bremen,60.0,40138.0,3-4-3,13.0,20.0,2019,Augsburg
24,2019-02-15,20:30,Bundesliga,Matchweek 22,Fri,Home,2,3,Bayern Munich,29.0,30660.0,3-4-1-2,8.0,62.5,2019,Augsburg
25,2019-02-23,15:30,Bundesliga,Matchweek 23,Sat,Away,1,5,Freiburg,59.0,23600.0,4-4-1-1,14.0,54.5,2019,Augsburg
26,2019-03-01,20:30,Bundesliga,Matchweek 24,Fri,Home,2,1,Dortmund,28.0,30660.0,4-1-4-1,9.0,87.5,2019,Augsburg
27,2019-03-09,15:30,Bundesliga,Matchweek 25,Sat,Away,0,0,RB Leipzig,33.0,38590.0,4-3-3,5.0,100.0,2019,Augsburg
28,2019-03-16,15:30,Bundesliga,Matchweek 26,Sat,Home,3,1,Hannover 96,60.0,28136.0,4-1-4-1,22.0,66.7,2019,Augsburg
29,2019-03-30,15:30,Bundesliga,Matchweek 27,Sat,Away,0,3,Nürnberg,50.0,42658.0,4-2-3-1,15.0,25.0,2019,Augsburg
31,2019-04-07,15:30,Bundesliga,Matchweek 28,Sun,Home,0,4,Hoffenheim,42.0,27552.0,5-4-1,8.0,55.6,2019,Augsburg
32,2019-04-14,18:00,Bundesliga,Matchweek 29,Sun,Away,3,1,Eint Frankfurt,55.0,51000.0,4-1-4-1,16.0,75.0,2019,Augsburg
33,2019-04-20,15:30,Bundesliga,Matchweek 30,Sat,Home,6,0,Stuttgart,52.0,30660.0,4-1-4-1,23.0,100.0,2019,Augsburg
34,2019-04-26,20:30,Bundesliga,Matchweek 31,Fri,Home,1,4,Leverkusen,27.0,26404.0,4-3-3,8.0,42.9,2019,Augsburg
35,2019-05-05,13:30,Bundesliga,Matchweek 32,Sun,Away,0,0,Schalke 04,50.0,59841.0,4-5-1,7.0,100.0,2019,Augsburg
36,2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,3,4,Hertha BSC,39.0,29307.0,4-1-4-1,4.0,62.5,2019,Augsburg
37,2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,1,8,Wolfsburg,44.0,24456.0,4-1-4-1,12.0,27.3,2019,Augsburg
1,2018-08-26,15:30,Bundesliga,Matchweek 1,Sun,Away,0,1,Mainz 05,53.0,28705.0,4-4-2,12.0,66.7,2019,Stuttgart
2,2018-09-01,18:30,Bundesliga,Matchweek 2,Sat,Home,0,3,Bayern Munich,32.0,58680.0,4-1-4-1,4.0,57.1,2019,Stuttgart
3,2018-09-16,18:00,Bundesliga,Matchweek 3,Sun,Away,3,3,Freiburg,57.0,24000.0,4-4-2,12.0,40.0,2019,Stuttgart
4,2018-09-21,20:30,Bundesliga,Matchweek 4,Fri,Home,0,0,Düsseldorf,54.0,54410.0,4-4-1-1,10.0,100.0,2019,Stuttgart
5,2018-09-26,20:30,Bundesliga,Matchweek 5,Wed,Away,0,2,RB Leipzig,55.0,32187.0,4-1-2-1-2◆,9.0,75.0,2019,Stuttgart
6,2018-09-29,15:30,Bundesliga,Matchweek 6,Sat,Home,2,1,Werder Bremen,38.0,58569.0,4-1-2-1-2◆,18.0,66.7,2019,Stuttgart
7,2018-10-06,15:30,Bundesliga,Matchweek 7,Sat,Away,1,3,Hannover 96,50.0,40800.0,5-3-2,11.0,50.0,2019,Stuttgart
8,2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Home,0,4,Dortmund,51.0,59000.0,4-3-3,14.0,0.0,2019,Stuttgart
9,2018-10-27,18:30,Bundesliga,Matchweek 9,Sat,Away,0,4,Hoffenheim,26.0,30150.0,5-3-2,6.0,60.0,2019,Stuttgart
10,2018-11-02,20:30,Bundesliga,Matchweek 10,Fri,Home,0,3,Eint Frankfurt,53.0,58016.0,3-4-1-2,10.0,57.1,2019,Stuttgart
11,2018-11-10,15:30,Bundesliga,Matchweek 11,Sat,Away,2,0,Nürnberg,50.0,50000.0,4-4-1-1,15.0,100.0,2019,Stuttgart
12,2018-11-23,20:30,Bundesliga,Matchweek 12,Fri,Away,0,2,Leverkusen,41.0,24632.0,4-4-1-1,10.0,50.0,2019,Stuttgart
13,2018-12-01,15:30,Bundesliga,Matchweek 13,Sat,Home,1,0,Augsburg,37.0,52739.0,3-4-3,14.0,100.0,2019,Stuttgart
14,2018-12-09,18:00,Bundesliga,Matchweek 14,Sun,Away,0,3,M'Gladbach,29.0,48590.0,3-4-3,7.0,57.1,2019,Stuttgart
15,2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Home,2,1,Hertha BSC,48.0,47680.0,4-1-4-1,9.0,66.7,2019,Stuttgart
16,2018-12-18,20:30,Bundesliga,Matchweek 16,Tue,Away,0,2,Wolfsburg,43.0,21780.0,4-1-4-1,11.0,60.0,2019,Stuttgart
17,2018-12-22,15:30,Bundesliga,Matchweek 17,Sat,Home,1,3,Schalke 04,62.0,54022.0,4-2-3-1,17.0,50.0,2019,Stuttgart
18,2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Home,2,3,Mainz 05,61.0,51881.0,4-2-3-1,28.0,25.0,2019,Stuttgart
19,2019-01-27,15:30,Bundesliga,Matchweek 19,Sun,Away,1,4,Bayern Munich,29.0,75000.0,4-4-2,7.0,33.3,2019,Stuttgart
20,2019-02-03,18:00,Bundesliga,Matchweek 20,Sun,Home,2,2,Freiburg,69.0,51009.0,4-4-2,17.0,50.0,2019,Stuttgart
21,2019-02-10,18:00,Bundesliga,Matchweek 21,Sun,Away,0,3,Düsseldorf,57.0,40211.0,4-4-2,15.0,50.0,2019,Stuttgart
22,2019-02-16,15:30,Bundesliga,Matchweek 22,Sat,Home,1,3,RB Leipzig,48.0,46072.0,5-4-1,7.0,25.0,2019,Stuttgart
23,2019-02-22,20:30,Bundesliga,Matchweek 23,Fri,Away,1,1,Werder Bremen,31.0,41000.0,5-4-1,8.0,75.0,2019,Stuttgart
24,2019-03-03,15:30,Bundesliga,Matchweek 24,Sun,Home,5,1,Hannover 96,51.0,55781.0,5-4-1,14.0,0.0,2019,Stuttgart
25,2019-03-09,15:30,Bundesliga,Matchweek 25,Sat,Away,1,3,Dortmund,25.0,81365.0,5-3-2,7.0,75.0,2019,Stuttgart
26,2019-03-16,15:30,Bundesliga,Matchweek 26,Sat,Home,1,1,Hoffenheim,40.0,56743.0,3-4-3,13.0,85.7,2019,Stuttgart
27,2019-03-31,18:00,Bundesliga,Matchweek 27,Sun,Away,0,3,Eint Frankfurt,50.0,51500.0,3-5-2,9.0,40.0,2019,Stuttgart
28,2019-04-06,15:30,Bundesliga,Matchweek 28,Sat,Home,1,1,Nürnberg,56.0,58757.0,5-3-2,13.0,83.3,2019,Stuttgart
29,2019-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,0,1,Leverkusen,32.0,53657.0,3-5-2,12.0,100.0,2019,Stuttgart
30,2019-04-20,15:30,Bundesliga,Matchweek 30,Sat,Away,0,6,Augsburg,48.0,30660.0,3-4-3,13.0,53.8,2019,Stuttgart
31,2019-04-27,18:30,Bundesliga,Matchweek 31,Sat,Home,1,0,M'Gladbach,33.0,56730.0,4-3-3,13.0,100.0,2019,Stuttgart
32,2019-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,1,3,Hertha BSC,49.0,48668.0,4-3-1-2,15.0,50.0,2019,Stuttgart
33,2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,3,0,Wolfsburg,41.0,54068.0,4-2-3-1,11.0,100.0,2019,Stuttgart
34,2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,0,0,Schalke 04,60.0,61676.0,4-4-1-1,16.0,100.0,2019,Stuttgart
1,2018-08-25,15:30,Bundesliga,Matchweek 1,Sat,Away,1,1,Werder Bremen,45.0,42100.0,4-2-2-2,13.0,66.7,2019,Hannover 96
2,2018-08-31,20:30,Bundesliga,Matchweek 2,Fri,Home,0,0,Dortmund,56.0,49000.0,3-4-1-2,7.0,100.0,2019,Hannover 96
3,2018-09-15,15:30,Bundesliga,Matchweek 3,Sat,Away,2,3,RB Leipzig,67.0,38937.0,3-4-3,16.0,50.0,2019,Hannover 96
4,2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Away,0,2,Nürnberg,45.0,36736.0,4-4-2,8.0,66.7,2019,Hannover 96
5,2018-09-25,20:30,Bundesliga,Matchweek 5,Tue,Home,1,3,Hoffenheim,58.0,33500.0,4-3-3,16.0,66.7,2019,Hannover 96
6,2018-09-30,15:30,Bundesliga,Matchweek 6,Sun,Away,1,4,Eint Frankfurt,58.0,46300.0,5-4-1,4.0,42.9,2019,Hannover 96
7,2018-10-06,15:30,Bundesliga,Matchweek 7,Sat,Home,3,1,Stuttgart,50.0,40800.0,3-4-3,15.0,80.0,2019,Hannover 96
8,2018-10-20,15:30,Bundesliga,Matchweek 8,Sat,Away,2,2,Leverkusen,35.0,26435.0,3-4-1-2,11.0,71.4,2019,Hannover 96
9,2018-10-27,15:30,Bundesliga,Matchweek 9,Sat,Home,1,2,Augsburg,62.0,37600.0,3-4-3,17.0,75.0,2019,Hannover 96
11,2018-11-03,15:30,Bundesliga,Matchweek 10,Sat,Away,1,3,Schalke 04,43.0,61959.0,4-3-3,19.0,66.7,2019,Hannover 96
12,2018-11-09,20:30,Bundesliga,Matchweek 11,Fri,Home,2,1,Wolfsburg,31.0,35800.0,4-2-3-1,9.0,100.0,2019,Hannover 96
13,2018-11-25,18:00,Bundesliga,Matchweek 12,Sun,Away,1,4,M'Gladbach,38.0,48692.0,4-4-2,6.0,33.3,2019,Hannover 96
14,2018-12-01,15:30,Bundesliga,Matchweek 13,Sat,Home,0,2,Hertha BSC,59.0,35800.0,4-2-3-1,11.0,71.4,2019,Hannover 96
15,2018-12-09,15:30,Bundesliga,Matchweek 14,Sun,Away,1,1,Mainz 05,30.0,23305.0,4-3-1-2,11.0,100.0,2019,Hannover 96
16,2018-12-15,15:30,Bundesliga,Matchweek 15,Sat,Home,0,4,Bayern Munich,28.0,49000.0,5-3-2,3.0,71.4,2019,Hannover 96
17,2018-12-19,20:30,Bundesliga,Matchweek 16,Wed,Away,1,1,Freiburg,53.0,23500.0,3-4-1-2,18.0,100.0,2019,Hannover 96
18,2018-12-22,15:30,Bundesliga,Matchweek 17,Sat,Home,0,1,Düsseldorf,56.0,34200.0,3-4-3,18.0,83.3,2019,Hannover 96
19,2019-01-19,15:30,Bundesliga,Matchweek 18,Sat,Home,0,1,Werder Bremen,48.0,44300.0,3-4-3,10.0,92.3,2019,Hannover 96
20,2019-01-26,15:30,Bundesliga,Matchweek 19,Sat,Away,1,5,Dortmund,37.0,81365.0,3-4-1-2,11.0,44.4,2019,Hannover 96
21,2019-02-01,20:30,Bundesliga,Matchweek 20,Fri,Home,0,3,RB Leipzig,46.0,32400.0,4-2-3-1,5.0,75.0,2019,Hannover 96
22,2019-02-09,15:30,Bundesliga,Matchweek 21,Sat,Home,2,0,Nürnberg,51.0,33700.0,4-4-2,19.0,100.0,2019,Hannover 96
23,2019-02-16,15:30,Bundesliga,Matchweek 22,Sat,Away,0,3,Hoffenheim,39.0,23404.0,5-4-1,6.0,70.0,2019,Hannover 96
24,2019-02-24,15:30,Bundesliga,Matchweek 23,Sun,Home,0,3,Eint Frankfurt,50.0,39100.0,3-4-1-2,9.0,62.5,2019,Hannover 96
25,2019-03-03,15:30,Bundesliga,Matchweek 24,Sun,Away,1,5,Stuttgart,49.0,55781.0,3-4-1-2,3.0,37.5,2019,Hannover 96
26,2019-03-10,18:00,Bundesliga,Matchweek 25,Sun,Home,2,3,Leverkusen,41.0,33800.0,4-5-1,12.0,40.0,2019,Hannover 96
27,2019-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,1,3,Augsburg,40.0,28136.0,4-1-2-1-2◆,13.0,70.0,2019,Hannover 96
28,2019-03-31,15:30,Bundesliga,Matchweek 27,Sun,Home,0,1,Schalke 04,61.0,44500.0,4-4-1-1,15.0,66.7,2019,Hannover 96
29,2019-04-06,15:30,Bundesliga,Matchweek 28,Sat,Away,1,3,Wolfsburg,40.0,23512.0,4-5-1,11.0,40.0,2019,Hannover 96
30,2019-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,0,1,M'Gladbach,43.0,40200.0,4-3-3,12.0,87.5,2019,Hannover 96
31,2019-04-21,18:00,Bundesliga,Matchweek 30,Sun,Away,0,0,Hertha BSC,41.0,38916.0,4-1-4-1,13.0,100.0,2019,Hannover 96
32,2019-04-27,15:30,Bundesliga,Matchweek 31,Sat,Home,1,0,Mainz 05,40.0,30400.0,4-1-2-1-2◆,8.0,100.0,2019,Hannover 96
33,2019-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,1,3,Bayern Munich,30.0,75000.0,4-3-1-2,1.0,78.6,2019,Hannover 96
34,2019-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,3,0,Freiburg,58.0,38100.0,3-4-1-2,18.0,100.0,2019,Hannover 96
35,2019-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,1,2,Düsseldorf,47.0,50000.0,3-1-4-2,14.0,66.7,2019,Hannover 96
1,2018-08-25,15:30,Bundesliga,Matchweek 1,Sat,Away,0,1,Hertha BSC,51.0,52729.0,4-3-3,10.0,66.7,2019,Nurnberg
2,2018-09-01,15:30,Bundesliga,Matchweek 2,Sat,Home,1,1,Mainz 05,57.0,37781.0,4-3-3,19.0,0.0,2019,Nurnberg
3,2018-09-16,15:30,Bundesliga,Matchweek 3,Sun,Away,1,1,Werder Bremen,44.0,42100.0,4-3-3,11.0,50.0,2019,Nurnberg
4,2018-09-22,15:30,Bundesliga,Matchweek 4,Sat,Home,2,0,Hannover 96,55.0,36736.0,4-3-3,15.0,100.0,2019,Nurnberg
5,2018-09-26,20:30,Bundesliga,Matchweek 5,Wed,Away,0,7,Dortmund,28.0,75700.0,5-3-2,4.0,30.0,2019,Nurnberg
